comment,evaluation
黄老师讲得很好，后面图书馆员就有点水了。最后是做试卷，题目关于检索和课程内容，给分佳。,medium
平时无点名，期末用上课讲的东西搜索一些她给的任务.不难，给分90+,medium
期末闭卷考试，但是其实到最后大家都在用手机，给分还行吧,good
感觉还好,medium
666,medium
会以回答问题的方式变相点名一次，上课就是讲些案例,medium
平时交作业当考勤，期末开卷,good
老师讲的生动有趣，，不难，，期末开卷考试，，90+很多,good
只上了三次课，每一节当堂一点小作业当点名，给分好,good
不点名，最后开卷考试，记几个上课讲过的内容就可以了，给分很高,good
讲得还可以，会放很多视频举很多案例，然后当堂写感想或者案例分析，最后有一个调查报告，其实就是一份很长的问卷，但需要认真完成,medium
老师讲的课很有趣，能够拓展思路。一共三周的课，注意周一和周三晚上都有课。考试开卷，而且会提前告诉考试题目。上课偶尔有课堂小作业，算点名吧。,good
偶尔交张纸，期末当堂带资料写论文就完事,medium
交论文，有随堂作业，点过一次名，给分还行,good
手写论文，随堂作业，给分还行,medium
那么多人的课居然点过一次名，有课堂作业，最后交一篇论文，,bad
隔周小作业，，我没逃过课，考试去按要求写论文，提前准备，给分85，,medium
有随堂小作业，期末论文提前给题,medium
考试基本会随堂考试，不点名，后期提前两周布置论文题目，感觉照着PPT编一编就过了，90+还行,medium
上课不点名，但是有的时候下课前有小作业，主要是上课讲过的内容。期末写一篇论文，会提前告知题目，然后当堂写。,medium
随堂有几次作业，最后考核是最后一节课当堂写论文，会提前说明题目让准备材料。,medium
给分太好了，期末一篇论文，感恩的心,good
期末论文，不点名。可以学到东西。不听课期末85+,good
有两三次点名，最后一篇论文，给分不错但课有点无聊,medium
给分不错，第三周点名，最后交论文,medium
老师挺好,medium
老师给分挺一般，不过没有考试，交篇论文就OK，平时上课还挺有意思（虽然听得不多）,medium
论文结课，老师给分很不错~,medium
老师讲的蛮有意思，偶尔还是点名的，期末写论文，要求不高，轻松90+,good
期末交论文，我是77,medium
基本没点到期末论文，，上课内容不是我感兴趣的话题，给分超级棒,medium
开卷考试，题目比较多,medium
课程还不错，期末开卷，给分好,medium
三次签到一次课堂答题，最好每节课都去，完成慕课,good
点过几次名，最后一堂课用微助教做题，课下要做慕课,medium
还不错，基本上网上作业，网上点名，网上考试，最后很轻松了~,medium
给分很好，不需要写论文，有几次课上作业，期末只是线上考试。,medium
上课会用雨课堂答题和点名，逃不掉的。,medium
老师给分挺好的！,medium
偶尔签到，论文结课，给分高,medium
偶尔点点，期末论文，水,medium
水课,medium
老师讲得挺好，94分，上课随堂作业，听课的话就是刚刚讲完的，贼简单,good
考核是论文，非常强调创新，如果不是真的喜欢建议不要选,medium
3次签到，可以学东西，高分就算了,good
有用的课，但是我有点害怕（讳疾忌医）,medium
运气好的话，老师只是让你写paper，但是我们当时是考试,good
结课交3千字论文，上课前半个小时和最后半小时静坐冥想按摩,good
老师人很好，给分也很好,medium
好,medium
老师很好，给分不错，事情有点多,medium
我上的时候挺好的，偶尔点名，考核一篇小论文或者背黄帝内经的一两篇吧。不过我朋友今年上是助教给讲的课，最后好像挺难熬的,good
给分很好,medium
考核方式：1、写心得，手写；2、小组讨论+课外阅读；3、背《黄帝内经》（好像是第一/二篇）三选一即可上课老师会教一些养生知识，还会教一点基础的太极动作，最后有次课是吃老师自己做的全麦面包以及和茶，最后分数90+,good
接受不了老师讲的一些伪科学，如果不是看在老师给冯的情况下早就撤课了！老师人还是不错的，教的内容就不敢恭维了。不建议大家选这个课，当然，想混个学费就选咯，我反正后悔花这100大洋了,medium
老师人超好～,good
不点名，给分高，两次作业都是选择题发老师邮箱，期末交论文,medium
老师上课很有意思，课程压力不大，期末考核是一篇和水有关的论文，给分很好~,good
不点名，期末论文，90+,medium
课程性质本身决定的这门课比较无聊，奈何老师人好，不点名，期末论文，轻松90+,medium
不点名，给分高，两次作业，期末交一篇论文，,bad
不点名，给分高，有两次作业，期末交论文，老师人还很好,medium
课其实很好玩，但是老师不点名以至于没什么人去...最后一篇论文自由选题，90+,medium
作业和一篇与专业有关的论文,medium
非常棒，两次作业+论文,medium
不点名，几次作业，网上可以搜到答案，期末论文，给分90+,medium
给分好，上课轻松,good
有一次随堂测，看视频答题，去迟了还是比较影响成绩的。期末开卷，只要提前熟悉PPT就基本没问题。,good
老师很有意思～有一次作业，期末开卷，给分好,good
给分好,medium
给分好，90+,medium
没有任何压力，考试开卷带电脑，最后没交小作业也有90+，考勤可能是最后一节课或者某个放假之前,medium
额额额我是倒霉吧，考勤满的，开卷也没太差，最后79？？？？？,medium
期末有个小考试，交一篇论文可以加分，殿民真的毫无压力，老师讲的也很好,good
开卷考试，比较容易，平时最好发言认真听讲,medium
给分高！,medium
。。不想说话,bad
老师很好,medium
考试很简单，提前一周发试卷，答案在ppt中基本都能找到,medium
给分一般，期末交报告,bad
点名点五次还是三次来着,good
点名比较多，期末考试，卷子提前发，但是我的最终成绩不怎么样,medium
偶尔点名，考试提前发卷子,medium
点名比较多，老师讲课也比较偏专业化,good
考试直接给题回去查，老师人特别好，有四次考勤我三次没到都得了87。。。,medium
期末试卷带回去做，给分高,medium
课程安排能在一定程度上了解自己，幸运的话能认识不错的朋友,good
不知道为什么我和另一个人的给分都很糟糕。我几乎每节课都发言。,medium
每节课都有小组讨论，最后给分也不错，平时课堂内容也很有用,medium
好课，给分高，有趣,good
小组讨论，组员互评形式给平时分，最后交论文，给分很好，课堂也比较有趣,good
很好的课，有小组活动，给分很好,good
上课轻松，给分高,good
小组合作，每节课写一两句话小心得，几乎都在玩游戏，游戏中面对不同情况，进行反思,good
给分很高,good
挺好的，给分高，期末论文,good
老师很好吧，给分也很好，然后实践当然能熟悉一下单反，大一大二选选玩玩挺好的。唯一缺点是讲课内容繁多时会有一些无聊。,medium
给分很好,good
讲了一些摄影原理和技巧，有三次实习作业，最后发了一份试卷回去写。个人摄影基础不怎么样，但完成作业很认真，95+,good
非常好的课，实践很多,good
信部的同学上课超方便，上课的内容好无聊啊，我试图认真听了……实习三次，很有趣的，但是算在上课的课时之外，有时间的同学选就是了，万一呢，我也是最后一刻选上的,good
上课我没听(个人原因)_(:з」∠)_实习很好玩！给分很给力！,medium
最后一次课堂授课的时候会点名。不过虽然我没赶上也有90+就是了……老师讲课的时候很有激情，前（大约7周）讲课，后面4-5周实习，每次实习都有小作业。不过实习除了最后一次个人认为基本可以不去……,medium
很有意思的课，中间有摄影实习还可以进暗房自己洗照片，考核就是每次交的摄影照片，给分很高基本90+,good
最强推的选修课。有意思，能学到东西，给分好。除上课外会有拍照实习，每次交相关照片。会安排一次洗照片，特别好玩。最后交作业+做一个ppt发给老师。90+,good
给分高，还可以学到很多知识,good
老师讲的挺好的，一学期就点了一次名，刚好没去，期末手写论文。85+,medium
期末交一篇跟课程没啥关系的论文，然后一学期中途有一次签到，没去的话分数会低一些,medium
上课大半时间胡扯，点了两次名，一次没到80+,bad
老师上课吹水时间占了绝大部分时间，我是觉得挺无聊的，但是给分很高，期末是写一篇几千字的论文,medium
老师很好，最后手写一个几千字的作业,good
上课超好玩（跟课程题无关～喵开玩笑的、上了就知道，大概是生动示范了史为今鉴，不过我还是挺爱听老师瞎扯的，以及好奇历史学院的老师都这么逗吗），不过老师有那么一点点爱拖课（嗯不止一点点）、寝室有点远（比如信部）妹子一个人回去还是有点害怕的，最后找个人一起上（我几次都是跑回去的～喵）给分取决于点名（他貌似、都是凭感觉点名的、或者感觉大概是一些大家容易翘课的时候比如放长假前夕点名，我这学期的人品惨到所有翘的课都碰上点名了，嗯hhhh，毫无余地的80+），尽管觉得自己期末的手写论文诚恳而中二,good
三次点名，期末一篇论文，只要上课都到给分很高，我95+,medium
老师讲课非常有趣，听听很受益...不过这样真的不会被查水表吗……会点名，而且千万别被抓到没去，不然分数会比较低了。结课一篇作文，自己写，很容易90+吧，看到99的时候灰常激动呀,good
论文结课没有考试很容易高分,medium
有几次作业，有点难度，期末考试,medium
讲课内容很丰富，学过才会有受益匪浅的感觉。不是水课，上课老师会叫人回答问题；节节手工签到，期末会有关于授课内容的选择填空简答计算的开卷考试…认真一些稳过吧，93,good
每节课签到，考试开卷但是还是要弄懂，难度不会很大但也不是特别容易就水过去,medium
签到可以代签，考试开卷，有几次作业，难度中上,good
认真听课就行，开卷,medium
期末考试，上课签到，开卷，挺简单的，略微枯燥,medium
会有几次小作业，期末开卷考试，好好听课做作业90+应该没问题,medium
666,medium
课余时间不是很充裕的建议不要选,medium
期中一篇读书笔记，期末一篇论文，给分一般，没上90,medium
没有点名，期末交论文或者读后感,medium
一篇读书笔记+读书笔记or论文，给分好，90+,medium
老师特别好，给分也不错,good
老师很有文人风骨，脾气超好不点名，中间交一篇读书笔记，最后期末一篇文体不限，字数要求不是很高，认真写给分就很好。虽然没怎么认真听过课，但炒鸡喜欢老师了~,medium
一篇读书笔记，一篇文体不限，给分还可以。老师超级负责,good
89分实名哭泣,good
两篇读书笔记，给分不错，从不查勤。,good
两篇读书笔记，给分还行,medium
老师讲课很棒，没有点过名，考核是一篇论文没有考试，给分超级好！,good
下课要花些时间弄懂老师讲的，要好好写作业。,medium
标准有点迷，讲课的详略安排不是很理想，有些东西需要课后慢慢弄明白,medium
不是特别感兴趣的真的不建议选,bad
讲的有乐理，没基础挺费劲，最后做两段音频，给分有点迷,medium
首先还是要表达一下对老师的感谢。上课非常有意思，互动性强，如果认真做笔记的话可以学到很多会讲SONAR和Cubase这两个软件，感觉Cubase很有用，但SONAR可以用overture来代替对乐理基础的要求并不高（即使啥也不懂，也只需要把五线谱的高音谱号和低音谱号都给认熟练就行），但笔记极其重要（还会讲三和弦之类的）但有意思是一方面，另一方面，不建议用这门课来水学分，因为即使你平时把这门课当成专业课来学习，来重视，也并不能保证你期末能满绩（没错，给分细则不详，也许你把它当成数分那么重要来学也只能得80多分）（89成功卡绩的路过）,good
非常不推荐，讲课进度太快，没有基础的话基本跟不上，最后还要交自己写的音乐，给分也不好，坑爹啊！！,bad
期末做一个短的音乐，但给分一般，,medium
讲的是非常基础的乐理知识，及Sonar和Cubase的简单使用，考核需要交一首midi格式的音乐和一首自己用软件做的音乐，有一定的难度，认真做了也只有88分,medium
除非有巨大到做梦都在搞电子音乐的兴趣，否则不建议选择,bad
有音乐基础的话可以学到一点简单的Cubase和sonar的应用，老师讲课稍微有点拖，不过人还挺好的,medium
老师讲的挺有趣的，只有一次点名，期末2人一组合作写创业报告书，给分好,good
上课好玩,good
老师讲的东西很实际，推荐有创业想法的各位，最后的大作业有点大，做好了的话90+,medium
一次小组合作项目PPT讲演，上课很轻松。,medium
老师讲课很有意思，还有企业家来讲课，给分也好，事也少。,good
很好很好的老师，讲课超棒，给分也好,good
有3次纸条签到，期末写个创业计划书。,medium
老师人比较有趣,medium
对创业感兴趣的话个人觉得可以去多请教一下老师,medium
有一次点名交纸条，最后一次课是小组讨论且轮流发言，期末作业是一篇两页的策划，给分挺好,good
听得挺累…一次不到扣十分…,bad
闭卷，必须记笔记,medium
经常点名签到，期末作业多，给分低,medium
不点名，期末带卷子回去写。老师讲的非常好，也超级温柔，能有一些收获，给分中规中矩吧。,good
期末带卷子回去写，分数一般,medium
平时没怎么去，也从不点名，期末提前给题目，写完规定时间上交就行，给分还可以,medium
没点到，期末回去做题,good
和想象的差距很大，很失望。老师没有讲很多有关审美的角度和思考，全程就在刻奇与自我感动，例子也是千篇一律。据我统计，例子发条橙讲了8次，千年女优6次，勇敢的心，西西里的美丽传说也讲了很多次，每次都差不多，泛泛而谈，毫无营养。凑学分可以，给分不错，想学知识慎选。,bad
特别棒的老师，终身受益,good
大概我没达到老师的那种审美层次，脑子里记得的大概就是“这就是美”“这就是爱”“向死而生”这么几句，老师是物理的本科，哲学的博士，简直厉害到不行,medium
老师人好又温柔，考核开卷,medium
人好又温柔，分高没作业,good
老师讲的很详细，适合入门。,medium
三次作业，给分高,good
这门课还是比较适合初入编程的小白的，我是软件工程的，做起来难度一般，有三次作业，还是能学到不少东西的,good
三次作业，不认真听课的话还是有点困难，最好要有点基础吧。认真听课还是会有基础的,medium
三次大作业，最后做一个记事本，能学到东西,good
没点过名，有三个小作业，最后一个占比最大，三个小作业做好就可以了（自己去找老师给的程序中的问题，就可以很轻松上90）,medium
几次作业，别的课忙的话还是要花点时间,good
三次大作业,medium
都还挺好，问题是最后三次作业感觉做的可以了，为啥没到90呢……,medium
交三次编程作业，一次比一次难，有基础会简单点，没基础上课好好听吧,medium
很好，值得选,good
比较坑，比较坑，比较坑，，，,bad
本以为给分很好，没想到……算了不说了都是泪，怪我自己没好好学习,bad
就期末作品，给分没到九十,bad
就是平常两次作业和期末作业~内容不多,medium
不点名。中间有一次作业。期末第10周就会布置，6月底截止。不过没有QQ群，比较麻烦。90分,medium
老师人不错，但是教的东西对于文科生来说有点难以理解，不过还好，认真跟着老师来，最后自己设计一个数据库，给了我89,medium
老师很好，能学到东西，平时会有作业，期末也是交作业，90＋,medium
老师很好，不点名，可以学到有用的东西，期末交作业,medium
最后一个大作业，从不点名但是被卡绩了....,medium
不点名，期末做一个access的程序,medium
讲得好，给分也高，学的很深入，考试很简单,bad
讲课太过浅显，科普性的，感觉没什么干货，3-4次点名，期末论文，给分感觉有点差，因为不知道怎么能拿高分、、最后论文不是听课能写好的,bad
期末论文，给分一般吧，,medium
感兴趣的话能学到很多知识，上课挺轻松的，由课堂表现，小论文（加分项）以及最后的试卷（可带回）给分，最后90+,good
老师上课会鼓励提问，有加分，不点名，今年期末是考试，试卷拿回去做,medium
期末写论文，关于核能的都行,medium
老师很好,good
偶尔签到，期末论文,medium
给分还是挺高的，但是想要拿到90分以上还是要听课,good
老师很好,medium
